    889.629000 #266      cpu0 PHY.MOD  addr=0x0b21 val=0x4000 mask=0x4000
    889.630000 #267      cpu0 RAD.MOD  addr=0x0045 val=0x0080 mask=0x0080
    889.630000 #268      cpu0 RAD.WR   addr=0x0045 val=0x3080
    889.630000 #269      cpu0 RAD.MOD  addr=0x0049 val=0x0000 mask=0xe000
    889.630000 #270      cpu0 RAD.WR   addr=0x0049 val=0x0030
    889.630000 #271      cpu0 RAD.MOD  addr=0x0049 val=0x0000 mask=0x1800
    889.631000 #272      cpu0 RAD.WR   addr=0x0049 val=0x0030
    889.631000 #273      cpu0 RAD.MOD  addr=0x0049 val=0x0000 mask=0x0400
    889.631000 #274      cpu0 RAD.WR   addr=0x0049 val=0x0030
    889.631000 #275      cpu0 RAD.MOD  addr=0x0049 val=0x0000 mask=0x0300
    889.631000 #276      cpu0 RAD.WR   addr=0x0049 val=0x0030
    889.631000 #277      cpu0 RAD.MOD  addr=0x0049 val=0x0000 mask=0x0040
    889.631000 #278      cpu0 RAD.WR   addr=0x0049 val=0x0030
    889.631000 #279      cpu0 RAD.MOD  addr=0x0049 val=0x0000 mask=0x0080
    889.632000 #280      cpu0 RAD.WR   addr=0x0049 val=0x0030
    889.632000 #281      cpu0 RAD.MOD  addr=0x0245 val=0x0080 mask=0x0080
    889.632000 #282      cpu0 RAD.WR   addr=0x0245 val=0x3080
    889.632000 #283      cpu0 RAD.MOD  addr=0x0249 val=0x0000 mask=0xe000
    889.632000 #284      cpu0 RAD.WR   addr=0x0249 val=0x0030
    889.632000 #285      cpu0 RAD.MOD  addr=0x0249 val=0x0000 mask=0x1800
    889.632000 #286      cpu0 RAD.WR   addr=0x0249 val=0x0030
    889.632000 #287      cpu0 RAD.MOD  addr=0x0249 val=0x0000 mask=0x0400
    889.633000 #288      cpu0 RAD.WR   addr=0x0249 val=0x0030
    889.633000 #289      cpu0 RAD.MOD  addr=0x0249 val=0x0000 mask=0x0300
    889.633000 #290      cpu0 RAD.WR   addr=0x0249 val=0x0030
    889.633000 #291      cpu0 RAD.MOD  addr=0x0249 val=0x0000 mask=0x0040
    889.633000 #292      cpu0 RAD.WR   addr=0x0249 val=0x0030
    889.633000 #293      cpu0 RAD.MOD  addr=0x0249 val=0x0000 mask=0x0080
    889.633000 #294      cpu0 RAD.WR   addr=0x0249 val=0x0030
    889.634000 #295      cpu0 RAD.MOD  addr=0x0445 val=0x0080 mask=0x0080
    889.634000 #296      cpu0 RAD.WR   addr=0x0445 val=0x3080
    889.634000 #297      cpu0 RAD.MOD  addr=0x0449 val=0x0000 mask=0xe000
    889.634000 #298      cpu0 RAD.WR   addr=0x0449 val=0x0030
    889.634000 #299      cpu0 RAD.MOD  addr=0x0449 val=0x0000 mask=0x1800
    889.634000 #300      cpu0 RAD.WR   addr=0x0449 val=0x0030
    889.634000 #301      cpu0 RAD.MOD  addr=0x0449 val=0x0000 mask=0x0400
    889.634000 #302      cpu0 RAD.WR   addr=0x0449 val=0x0030
    889.634000 #303      cpu0 RAD.MOD  addr=0x0449 val=0x0000 mask=0x0300
    889.634000 #304      cpu0 RAD.WR   addr=0x0449 val=0x0030
    889.635000 #305      cpu0 RAD.MOD  addr=0x0449 val=0x0000 mask=0x0040
    889.635000 #306      cpu0 RAD.WR   addr=0x0449 val=0x0030
    889.635000 #307      cpu0 RAD.MOD  addr=0x0449 val=0x0000 mask=0x0080
    889.635000 #308      cpu0 RAD.WR   addr=0x0449 val=0x0030
    889.635000 #309      cpu0 PHY.RD   addr=0x0550 val=UNDEFINED
    889.635000 #310      cpu0 PHY.WR   addr=0x0550 val=0x0ffd
    889.636000 #311      cpu0 PHY.MOD  addr=0x0551 val=0x000f mask=0x000f
    889.636000 #312      cpu0 PHY.MOD  addr=0x0551 val=0x00f0 mask=0x00f0
    889.636000 #313      cpu0 PHY.WR   addr=0x0552 val=0x0001
    889.636000 #314      cpu0 PHY.WR   addr=0x0553 val=0x0001
    889.636000 #315      cpu0 PHY.WR   addr=0x0554 val=0x03e8
    889.636000 #316      cpu0 PHY.WR   addr=0x0555 val=0x03e8
    889.636000 #317      cpu0 PHY.WR   addr=0x0556 val=0x01f4
    889.636000 #318      cpu0 PHY.WR   addr=0x0557 val=0x01f4
    889.636000 #319      cpu0 PHY.WR   addr=0x0558 val=0xb8d8
    889.637000 #320      cpu0 PHY.WR   addr=0x0559 val=0x0005
    889.637000 #321      cpu0 PHY.MOD  addr=0x0729 val=0x1000 mask=0x1000
    889.637000 #322      cpu0 PHY.MOD  addr=0x0721 val=0x1000 mask=0x1000
    889.637000 #323      cpu0 RAD.MOD  addr=0x0033 val=0x4000 mask=0xf000
    889.637000 #324      cpu0 RAD.WR   addr=0x0033 val=0x4060
    889.637000 #325      cpu0 PHY.MOD  addr=0x0929 val=0x1000 mask=0x1000
    889.637000 #326      cpu0 PHY.MOD  addr=0x0921 val=0x1000 mask=0x1000
    889.637000 #327      cpu0 RAD.MOD  addr=0x0233 val=0x4000 mask=0xf000
    889.637000 #328      cpu0 RAD.WR   addr=0x0233 val=0x4060
    889.638000 #329      cpu0 PHY.MOD  addr=0x0b29 val=0x1000 mask=0x1000
    889.638000 #330      cpu0 PHY.MOD  addr=0x0b21 val=0x1000 mask=0x1000
    889.638000 #331      cpu0 RAD.MOD  addr=0x0433 val=0x4000 mask=0xf000
    889.638000 #332      cpu0 RAD.WR   addr=0x0433 val=0x4060
    889.638000 #333      cpu0 PHY.MOD  addr=0x01b0 val=0x8000 mask=0x8000
    889.638000 #334      cpu0 PHY.RD   addr=0x0000 val=UNDEFINED
    889.638000 #335      cpu0 PMU.RC   addr=0x0000 val=0x00200000 mask=0x01f00000
    889.638000 #336      cpu0 GPIO.CTL val=0x00000000 mask=0x0000ffff
    889.638000 #337      cpu0 PHY.WR   addr=0x0410 val=0x0077
    889.638000 #338      cpu0 PHY.WR   addr=0x173e val=0x0000
    889.639000 #339      cpu0 PHY.WR   addr=0x1725 val=0x0000
    889.639000 #340      cpu0 PHY.WR   addr=0x1722 val=0x0000
    889.639000 #341      cpu0 PHY.WR   addr=0x1723 val=0x0000
    889.639000 #342      cpu0 PHY.WR   addr=0x1724 val=0x0000
    889.639000 #343      cpu0 PHY.WR   addr=0x1725 val=0x0000
    889.639000 #344      cpu0 PHY.WR   addr=0x1726 val=0x0000
    889.639000 #345      cpu0 PHY.WR   addr=0x1727 val=0x0000
    889.639000 #346      cpu0 PHY.WR   addr=0x1750 val=0x0000
    889.639000 #347      cpu0 PHY.WR   addr=0x1728 val=0x0080
    889.640000 #348      cpu0 PHY.WR   addr=0x1720 val=0x0180
    889.640000 #349      cpu0 PHY.WR   addr=0x1729 val=0x0000
    889.640000 #350      cpu0 PHY.WR   addr=0x1721 val=0x5000
    889.640000 #351      cpu0 PHY.RD   addr=0x073a val=UNDEFINED
    889.640000 #352      cpu0 PHY.WR   addr=0x173a val=0x0100
    889.640000 #353      cpu0 PHY.RD   addr=0x0725 val=UNDEFINED
    889.641000 #354      cpu0 PHY.WR   addr=0x1725 val=0x0400
