trace_seq,op,addr,val,mask,match,n_driver_sites,driver_site(s),value_check
82880,PHY.MOD,0x0460,0xfffb,0x0000,MULTI,5,phy_ac.c:419 b43_phy_ac_op_radio_write;phy_ac.c:420 b43_phy_ac_op_radio_write;phy_ac.c:422 b43_phy_ac_op_radio_write;phy_ac.c:450 b43_phy_ac_op_radio_write,VAL-MISMATCH
82881,PHY.RD,0x019e,UNDEFINED,,MULTI,34,phy_ac.c:297 b43_phy_ac_op_radio_write;phy_ac.c:304 b43_phy_ac_op_radio_write;phy_ac.c:315 b43_phy_ac_op_radio_write;phy_ac.c:332 b43_phy_ac_op_radio_write,
82882,PHY.MOD,0x019e,0x0002,0x0002,MULTI,38,phy_ac.c:303 b43_phy_ac_op_radio_write;phy_ac.c:333 b43_phy_ac_op_radio_write;phy_ac.c:342 b43_phy_ac_op_radio_write;phy_ac.c:358 b43_phy_ac_op_radio_write,VAL-OK
82907,PHY.MOD,0x0001,0x4000,0x4000,MULTI,8,phy_ac.c:411 b43_phy_ac_op_radio_write;phy_ac.c:412 b43_phy_ac_op_radio_write;phy_ac.c:474 b43_phy_ac_op_radio_write;phy_ac.c:475 b43_phy_ac_op_radio_write,VAL-OK
82909,PHY.MOD,0x0001,0x0000,0x4000,MULTI,8,phy_ac.c:411 b43_phy_ac_op_radio_write;phy_ac.c:412 b43_phy_ac_op_radio_write;phy_ac.c:474 b43_phy_ac_op_radio_write;phy_ac.c:475 b43_phy_ac_op_radio_write,VAL-UNRESOLVED
82911,PHY.WR,0x0730,0x00b0,,NONE,0,,
82912,PHY.WR,0x0731,0x0004,,NONE,0,,
82913,PHY.WR,0x0734,0x0001,,UNIQUE,1,phy_ac.c:480 b43_phy_ac_op_radio_write,VAL-MISMATCH
82914,PHY.MOD,0x0722,0x0002,0x0002,MULTI,2,phy_ac.c:330 b43_phy_ac_op_radio_write;phy_ac.c:331 b43_phy_ac_op_radio_write,VAL-MISMATCH
82915,PHY.MOD,0x0722,0x0004,0x0004,MULTI,2,phy_ac.c:330 b43_phy_ac_op_radio_write;phy_ac.c:331 b43_phy_ac_op_radio_write,VAL-MISMATCH
82916,PHY.MOD,0x0722,0x0008,0x0008,EXACT,2,phy_ac.c:331 b43_phy_ac_op_radio_write,VAL-OK
82917,PHY.RD,0x019e,UNDEFINED,,MULTI,34,phy_ac.c:297 b43_phy_ac_op_radio_write;phy_ac.c:304 b43_phy_ac_op_radio_write;phy_ac.c:315 b43_phy_ac_op_radio_write;phy_ac.c:332 b43_phy_ac_op_radio_write,
82918,PHY.MOD,0x019e,0x0002,0x0002,MULTI,38,phy_ac.c:303 b43_phy_ac_op_radio_write;phy_ac.c:333 b43_phy_ac_op_radio_write;phy_ac.c:342 b43_phy_ac_op_radio_write;phy_ac.c:358 b43_phy_ac_op_radio_write,VAL-OK
82953,PHY.WR,0x0930,0x00b0,,NONE,0,,
82954,PHY.WR,0x0931,0x0004,,NONE,0,,
82955,PHY.WR,0x0934,0x0001,,UNIQUE,1,phy_ac.c:500 b43_phy_ac_op_radio_write,VAL-MISMATCH
82956,PHY.MOD,0x0922,0x0002,0x0002,MULTI,2,phy_ac.c:355 b43_phy_ac_op_radio_write;phy_ac.c:356 b43_phy_ac_op_radio_write,VAL-MISMATCH
82957,PHY.MOD,0x0922,0x0004,0x0004,MULTI,2,phy_ac.c:355 b43_phy_ac_op_radio_write;phy_ac.c:356 b43_phy_ac_op_radio_write,VAL-MISMATCH
82958,PHY.MOD,0x0922,0x0008,0x0008,EXACT,2,phy_ac.c:356 b43_phy_ac_op_radio_write,VAL-OK
82959,PHY.RD,0x019e,UNDEFINED,,MULTI,34,phy_ac.c:297 b43_phy_ac_op_radio_write;phy_ac.c:304 b43_phy_ac_op_radio_write;phy_ac.c:315 b43_phy_ac_op_radio_write;phy_ac.c:332 b43_phy_ac_op_radio_write,
82960,PHY.MOD,0x019e,0x0002,0x0002,MULTI,38,phy_ac.c:303 b43_phy_ac_op_radio_write;phy_ac.c:333 b43_phy_ac_op_radio_write;phy_ac.c:342 b43_phy_ac_op_radio_write;phy_ac.c:358 b43_phy_ac_op_radio_write,VAL-OK
82995,PHY.WR,0x0b30,0x00b0,,NONE,0,,
82996,PHY.WR,0x0b31,0x0004,,NONE,0,,
82997,PHY.WR,0x0b34,0x0000,,NONE,0,,
82998,PHY.MOD,0x0b22,0x0002,0x0002,NONE,0,,
82999,PHY.MOD,0x0b22,0x0004,0x0004,NONE,0,,
83000,PHY.MOD,0x0b22,0x0008,0x0008,NONE,0,,
83001,PHY.RD,0x019e,UNDEFINED,,MULTI,34,phy_ac.c:297 b43_phy_ac_op_radio_write;phy_ac.c:304 b43_phy_ac_op_radio_write;phy_ac.c:315 b43_phy_ac_op_radio_write;phy_ac.c:332 b43_phy_ac_op_radio_write,
83002,PHY.MOD,0x019e,0x0002,0x0002,MULTI,38,phy_ac.c:303 b43_phy_ac_op_radio_write;phy_ac.c:333 b43_phy_ac_op_radio_write;phy_ac.c:342 b43_phy_ac_op_radio_write;phy_ac.c:358 b43_phy_ac_op_radio_write,VAL-OK
83137,PHY.MOD,0x0001,0x4000,0x4000,MULTI,8,phy_ac.c:411 b43_phy_ac_op_radio_write;phy_ac.c:412 b43_phy_ac_op_radio_write;phy_ac.c:474 b43_phy_ac_op_radio_write;phy_ac.c:475 b43_phy_ac_op_radio_write,VAL-OK
