    616.018000 #33468    cpu0 RAD.WR   addr=0x0024 val=0x0303
    616.018000 #33469    cpu0 RAD.RD   addr=0x036e val=0x00000000
    616.018000 #33471    cpu0 RAD.RD   addr=0x020e val=0x00000001
    616.018000 #33473    cpu0 RAD.RD   addr=0x0361 val=0x00000100
    616.018000 #33475    cpu0 RAD.RD   addr=0x0217 val=0x00000011
    616.018000 #33477    cpu0 RAD.RD   addr=0x035f val=0x00000000
    616.018000 #33479    cpu0 RAD.RD   addr=0x0224 val=0x00000003
    616.018000 #33481    cpu0 RAD.RD   addr=0x0225 val=0x00000000
    616.018000 #33483    cpu0 RAD.MOD  addr=0x0361 val=0x4000 mask=0x4000
    616.018000 #33484    cpu0 RAD.RD   addr=0x0361 val=0x00000100
    616.018000 #33486    cpu0 RAD.WR   addr=0x0361 val=0x4100
    616.018000 #33487    cpu0 RAD.MOD  addr=0x020e val=0x0001 mask=0x0001
    616.018000 #33488    cpu0 RAD.RD   addr=0x020e val=0x00000001
    616.018000 #33490    cpu0 RAD.WR   addr=0x020e val=0x0001
    616.018000 #33491    cpu0 RAD.MOD  addr=0x0361 val=0x1000 mask=0x1000
    616.018000 #33492    cpu0 RAD.RD   addr=0x0361 val=0x00004100
    616.018000 #33494    cpu0 RAD.WR   addr=0x0361 val=0x5100
    616.018000 #33495    cpu0 RAD.MOD  addr=0x0217 val=0x0001 mask=0x0001
    616.018000 #33496    cpu0 RAD.RD   addr=0x0217 val=0x00000010
    616.018000 #33498    cpu0 RAD.WR   addr=0x0217 val=0x0011
    616.018000 #33499    cpu0 RAD.MOD  addr=0x0217 val=0x0000 mask=0x0002
    616.018000 #33500    cpu0 RAD.RD   addr=0x0217 val=0x00000011
    616.018000 #33502    cpu0 RAD.WR   addr=0x0217 val=0x0011
    616.018000 #33503    cpu0 RAD.MOD  addr=0x035f val=0x2000 mask=0x2000
    616.018000 #33504    cpu0 RAD.RD   addr=0x035f val=0x00000000
    616.018000 #33506    cpu0 RAD.WR   addr=0x035f val=0x2000
    616.018000 #33507    cpu0 RAD.MOD  addr=0x0225 val=0x0091 mask=0x03ff
    616.018000 #33508    cpu0 RAD.RD   addr=0x0225 val=0x00000000
    616.018000 #33510    cpu0 RAD.WR   addr=0x0225 val=0x0091
    616.018000 #33511    cpu0 RAD.MOD  addr=0x035f val=0x4000 mask=0x4000
    616.018000 #33512    cpu0 RAD.RD   addr=0x035f val=0x00002000
    616.018000 #33514    cpu0 RAD.WR   addr=0x035f val=0x6000
    616.018000 #33515    cpu0 RAD.MOD  addr=0x0224 val=0x0300 mask=0x0700
    616.018000 #33516    cpu0 RAD.RD   addr=0x0224 val=0x00000003
    616.018000 #33518    cpu0 RAD.WR   addr=0x0224 val=0x0303
    616.018000 #33519    cpu0 PHY.RD   addr=0x019e val=0x00000210
    616.018000 #33521    cpu0 PHY.RD   addr=0x040f val=0x000009ff
    616.018000 #33523    cpu0 PHY.MOD  addr=0x040f val=0x0000 mask=0x0200
    616.018000 #33524    cpu0 PHY.RD   addr=0x0394 val=0x0000000b
    616.018000 #33526    cpu0 PHY.RD   addr=0x0393 val=0x00000000
    616.018000 #33528    cpu0 PHY.RD   addr=0x0739 val=0x0000007a
    616.018000 #33530    cpu0 PHY.WR   addr=0x0739 val=0x00fa
