   1825.001000 #1211603  cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1825.055000 #1211842  cpu1 RAD.WR   addr=0x040b val=0x0000
   1825.055000 #1211843  cpu1 RAD.MOD  addr=0x040b val=0x0001 mask=0x0001
   1825.055000 #1211844  cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1825.055000 #1211845  cpu1 RETVAL   for=#1211844 val=0x00000000
   1825.055000 #1211846  cpu1 RAD.WR   addr=0x040b val=0x0001
   1825.055000 #1211847  cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1825.056000 #1211848  cpu1 RETVAL   for=#1211847 val=0x00000169
   1825.056000 #1211849  cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1825.056000 #1211850  cpu1 RETVAL   for=#1211849 val=0x00000169
   1825.056000 #1211851  cpu1 RAD.MOD  addr=0x0548 val=0x0000 mask=0x0001
   1825.056000 #1211852  cpu1 RAD.RD   addr=0x0548 val=UNDEFINED
   1825.056000 #1211853  cpu1 RETVAL   for=#1211852 val=0x00000001
   1825.056000 #1211854  cpu1 RAD.WR   addr=0x0548 val=0x0000
   1825.056000 #1211855  cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0040
   1825.056000 #1211856  cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1825.056000 #1211857  cpu1 RETVAL   for=#1211856 val=0x000000ff
   1825.056000 #1211858  cpu1 RAD.WR   addr=0x08ea val=0x00bf
   1825.056000 #1211859  cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0080
   1825.056000 #1211860  cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1825.056000 #1211861  cpu1 RETVAL   for=#1211860 val=0x000000bf
   1825.056000 #1211862  cpu1 RAD.WR   addr=0x08ea val=0x003f
   1825.056000 #1211863  cpu1 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
   1825.056000 #1211864  cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1825.056000 #1211865  cpu1 RETVAL   for=#1211864 val=0x00000169
   1825.056000 #1211866  cpu1 RAD.WR   addr=0x040b val=0x0168
   1825.056000 #1211867  cpu1 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
   1825.056000 #1211868  cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1825.056000 #1211869  cpu1 RETVAL   for=#1211868 val=0x0000003f
   1825.056000 #1211870  cpu1 RAD.WR   addr=0x08ea val=0x00bf
   1825.056000 #1211871  cpu1 RAD.MOD  addr=0x08ed val=0x0400 mask=0x0600
   1825.056000 #1211872  cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
   1825.056000 #1211873  cpu1 RETVAL   for=#1211872 val=0x00004124
   1825.056000 #1211874  cpu1 RAD.WR   addr=0x08ed val=0x4524
   1825.056000 #1211875  cpu1 RAD.MOD  addr=0x0410 val=0x1000 mask=0x1000
   1825.056000 #1211876  cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1825.056000 #1211877  cpu1 RETVAL   for=#1211876 val=0x00000f80
   1825.056000 #1211878  cpu1 RAD.WR   addr=0x0410 val=0x1f80
   1825.056000 #1211879  cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0018
   1825.056000 #1211880  cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1825.056000 #1211881  cpu1 RETVAL   for=#1211880 val=0x00001f80
   1825.056000 #1211882  cpu1 RAD.WR   addr=0x0410 val=0x1f80
   1825.056000 #1211883  cpu1 RAD.MOD  addr=0x0411 val=0x1c00 mask=0xff00
   1825.056000 #1211884  cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1825.056000 #1211885  cpu1 RETVAL   for=#1211884 val=0x00000f54
   1825.056000 #1211886  cpu1 RAD.WR   addr=0x0411 val=0x1c54
   1825.056000 #1211887  cpu1 RAD.WR   addr=0x0412 val=0x014a
   1825.056000 #1211888  cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1825.056000 #1211889  cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1825.056000 #1211890  cpu1 RETVAL   for=#1211889 val=0x00001f80
   1825.056000 #1211891  cpu1 RAD.WR   addr=0x0410 val=0x1f80
   1825.056000 #1211892  cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
   1825.056000 #1211893  cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1825.056000 #1211894  cpu1 RETVAL   for=#1211893 val=0x00001f80
   1825.056000 #1211895  cpu1 RAD.WR   addr=0x0410 val=0x1f81
   1825.056000 #1211896  cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
   1825.056000 #1211897  cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1825.056000 #1211898  cpu1 RETVAL   for=#1211897 val=0x00001c54
   1825.056000 #1211899  cpu1 RAD.WR   addr=0x0411 val=0x1c55
   1825.056000 #1211900  cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1825.056000 #1211901  cpu1 RETVAL   for=#1211900 val=0x00000000
   1825.056000 #1211902  cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1825.056000 #1211903  cpu1 RETVAL   for=#1211902 val=0x00000000
   1825.056000 #1211904  cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1825.056000 #1211905  cpu1 RETVAL   for=#1211904 val=0x00000000
   1825.056000 #1211906  cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1825.056000 #1211907  cpu1 RETVAL   for=#1211906 val=0x00000000
   1825.056000 #1211908  cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
   1825.057000 #1211909  cpu1 RETVAL   for=#1211908 val=0x00000010
   1825.057000 #1211910  cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
   1825.057000 #1211911  cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1825.057000 #1211912  cpu1 RETVAL   for=#1211911 val=0x00001c55
   1825.057000 #1211913  cpu1 RAD.WR   addr=0x0411 val=0x1c54
   1825.057000 #1211914  cpu1 RAD.RD   addr=0x0414 val=UNDEFINED
   1825.057000 #1211915  cpu1 RETVAL   for=#1211914 val=0x00000b3b
   1825.057000 #1211916  cpu1 RAD.RD   addr=0x0415 val=UNDEFINED
   1825.057000 #1211917  cpu1 RETVAL   for=#1211916 val=0x00000c2e
